merchant_id,name,industry,location
M0001,H&M,Electronics,"San Antonio, TX"
M0002,CVS Pharmacy,E-commerce,"San Jose, CA"
M0003,Booking.com,Fast Food,"Los Angeles, CA"
M0004,IKEA,Fast Food,"Seattle, WA"
M0005,Uber Eats,Retail,"Chicago, IL"
M0006,Whole Foods,Logistics,"San Jose, CA"
M0007,Dunkin' Donuts,Furniture,"Columbus, OH"
M0008,Booking.com,Hotel,"San Francisco, CA"
M0009,REI,Electronics,"Denver, CO"
M0010,McDonald's,E-commerce,"Dallas, TX"
M0011,Dollar General,Gas Station,"San Francisco, CA"
M0012,eBay,Streaming,"Houston, TX"
M0013,FedEx,Hotel,"Dallas, TX"
M0014,Whole Foods,Ride Sharing,"Los Angeles, CA"
M0015,American Airlines,Fast Food,"San Jose, CA"
M0016,Delta Airlines,Sportswear,"Dallas, TX"
M0017,Dunkin' Donuts,Pharmacy,"Washington, DC"
M0018,Hilton,Ride Sharing,"New York, NY"
M0019,Wayfair,E-commerce,"San Diego, CA"
M0020,UPS,Pharmacy,"Dallas, TX"
M0021,Whole Foods,Streaming,"Washington, DC"
M0022,Expedia,Streaming,"Seattle, WA"
M0023,Shell,Gaming,"Los Angeles, CA"
M0024,BP,Fast Food,"Columbus, OH"
M0025,PlayStation Store,Gaming,"Austin, TX"
M0026,North Face,Hotel,"Washington, DC"
M0027,IKEA,Fast Food,"San Diego, CA"
M0028,Home Depot,Streaming,"San Diego, CA"
M0029,7-Eleven,Hotel,"Houston, TX"
M0030,Uber,Airline,"Chicago, IL"
M0031,Dollar General,Retail,"Indianapolis, IN"
M0032,7-Eleven,Streaming,"San Jose, CA"
M0033,H&M,E-commerce,"Columbus, OH"
M0034,Chevron,Furniture,"Fort Worth, TX"
M0035,Nike,Fast Food,"Jacksonville, FL"
M0036,Disney+,Logistics,"New York, NY"
M0037,GameStop,Streaming,"Charlotte, NC"
M0038,Starbucks,Gas Station,"Phoenix, AZ"
M0039,Marriott,Hotel,"Chicago, IL"
M0040,Target,Streaming,"Jacksonville, FL"
M0041,Grubhub,Hotel,"Los Angeles, CA"
M0042,Uber Eats,Airline,"Charlotte, NC"
M0043,Hyatt,Hotel,"Phoenix, AZ"
M0044,eBay,Sportswear,"Phoenix, AZ"
M0045,Spotify,Hotel,"Seattle, WA"
M0046,Expedia,Furniture,"San Antonio, TX"
M0047,REI,Hotel,"Chicago, IL"
M0048,IKEA,Fast Food,"Denver, CO"
M0049,Target,E-commerce,"New York, NY"
M0050,Whole Foods,Streaming,"Seattle, WA"
M0051,PlayStation Store,Airline,"Chicago, IL"
M0052,Delta Airlines,Grocery,"Chicago, IL"
M0053,Delta Airlines,Fast Food,"Philadelphia, PA"
M0054,Nordstrom,Airline,"Houston, TX"
M0055,Trader Joe's,Electronics,"Columbus, OH"
M0056,H&M,Electronics,"New York, NY"
M0057,DoorDash,Entertainment,"New York, NY"
M0058,Wayfair,Gaming,"Charlotte, NC"
M0059,Netflix,Entertainment,"Phoenix, AZ"
M0060,Home Depot,Furniture,"San Antonio, TX"
M0061,Zara,Sportswear,"Houston, TX"
M0062,REI,Fast Food,"Los Angeles, CA"
M0063,Tesla Supercharger,Sportswear,"San Francisco, CA"
M0064,Disney+,E-commerce,"Austin, TX"
M0065,Netflix,Logistics,"San Francisco, CA"
M0066,Southwest Airlines,Airline,"San Jose, CA"
M0067,Southwest Airlines,Gas Station,"Charlotte, NC"
M0068,Southwest Airlines,Grocery,"Austin, TX"
M0069,eBay,Gaming,"Chicago, IL"
M0070,Chevron,Electronics,"Austin, TX"
M0071,Uber Eats,Gaming,"Denver, CO"
M0072,Airbnb,Sportswear,"New York, NY"
M0073,Delta Airlines,Airline,"Charlotte, NC"
M0074,Target,Gaming,"Seattle, WA"
M0075,Costco,Gaming,"Austin, TX"
M0076,Epic Games,Logistics,"San Jose, CA"
M0077,FedEx,Gas Station,"Washington, DC"
M0078,North Face,Logistics,"Los Angeles, CA"
M0079,Grubhub,Retail,"San Jose, CA"
M0080,Sephora,Entertainment,"Dallas, TX"
M0081,Kroger,E-commerce,"Columbus, OH"
M0082,Epic Games,Hotel,"San Jose, CA"
M0083,Delta Airlines,Hotel,"Denver, CO"
M0084,Nordstrom,Streaming,"Los Angeles, CA"
M0085,Disney+,Sportswear,"Los Angeles, CA"
M0086,United Airlines,Gaming,"Fort Worth, TX"
M0087,Target,Grocery,"Los Angeles, CA"
M0088,Hilton,Pharmacy,"Philadelphia, PA"
M0089,Shell,Retail,"Fort Worth, TX"
M0090,Lyft,Furniture,"Austin, TX"
M0091,Home Depot,Entertainment,"San Antonio, TX"
M0092,Trader Joe's,Furniture,"Washington, DC"
M0093,GameStop,Pharmacy,"Austin, TX"
M0094,Hilton,Grocery,"San Jose, CA"
M0095,Lowe's,Sportswear,"Fort Worth, TX"
M0096,Macy's,Furniture,"Los Angeles, CA"
M0097,Delta Airlines,Fast Food,"San Francisco, CA"
M0098,Steam,Ride Sharing,"Seattle, WA"
M0099,McDonald's,Electronics,"Columbus, OH"
M0100,FedEx,Gaming,"Charlotte, NC"
